sku;country;stock;last_update
D044300WW00;0;FR;2021-01-19 9:44:38
D044301WW00;0;FR;2021-01-19 9:44:38
D044302WW00;0;FR;2021-01-19 9:44:38
D044303WW00;0;FR;2021-01-19 9:44:38
D044304WW00;0;FR;2021-01-19 9:44:38
D044305WW00;0;FR;2021-01-19 9:44:38
D044306WW00;0;FR;2021-01-19 9:44:38
D044307WW00;0;FR;2021-01-19 9:44:38
D044308WW00;0;FR;2021-01-19 9:44:38
D044309WW00;0;FR;2021-01-19 9:44:38
D044311WW00;0;FR;2021-01-19 9:44:38
D044312WW00;0;FR;2021-01-19 9:44:38
D044313WW00;0;FR;2021-01-19 9:44:38
D044314WW00;0;FR;2021-01-19 9:44:38
D044315WW00;0;FR;2021-01-19 9:44:38
D044316WW00;0;FR;2021-01-19 9:44:38
